Проект,Категории,Цена,Заявки
Создание логотипа для разных объектов.,Логотипы и Знаки,$50,19 заявок
Дописать функционал открытых линий в Битрикс24,Системы управления (CMS),,2 заявки
Нужен рерайт статей + добавить на сайт,Рерайтинг,,21 заявка
Ищем Дизайнера ( Киев),Иконки и Пиксель-арт,,1 заявка
Требуется PHP программист (Drupal) на постоянную работу долгосрочно,Веб-программирование,$800,1 заявка
Нужны отзывы на Яндекс Маркете.,Наполнение сайтов,,298 заявок
АБС системы,Прикладное ПО,,3 заявки
Спорт. Прочитать и Разместить 10 статей с фото на сайте(WP),Наполнение сайтов,,3 заявки
Сортировка товаров на opencart 2 выдает ошибку 500,Веб-программирование,,8 заявок
Настроить отсылку сообщений из Битрикс 24,Системы управления (CMS),,2 заявки
Создать макет по фотографии,Обработка фотографий,,24 заявки
Описание к товарам,Продающие тексты,$735,11 заявок
Подготовить файл загрузки из файлов разных поставщиков в csv файл,Базы данных,,8 заявок
Нужен копирайтер на долгосрочное сотрудничество.,Копирайтинг,,11 заявок
Подключить PHP сайт после смены хостинга,Веб-программирование,,6 заявок
,,,
Постинг на форумах на тему бинарных опционов,Социальные сети (SMM и SMO),,4 заявки
Доработать сайт по дизайну!  OpenCart,Дизайн сайтов,$100,18 заявок
Добавить платежную систему на сайт,HTML-верстка,,11 заявок
Создание логотипа,Логотипы и Знаки,,36 заявок
Идентификаторы кнопкам для метрики на JoomShopping,Веб-программирование,,8 заявок
Надо починить скрипт автопубликатор на php,Веб-программирование,$50,12 заявок
Перенести сайт на wordpress на шаблон templatemonster,Веб-программирование,,4 заявки
Image ALTs в Avada Theme (Wordpress),Веб-программирование,,2 заявки
Обработать аудиозапись,Аудиомонтаж,,12 заявок
Написания форму заказа с интеграцией whmcs api,Веб-программирование,,3 заявки
Логотип и базовый фирменный стиль,"Логотипы и Знаки, Фирменный стиль",,28 заявок
Страница сайта на WP с валидацией через CRM Bitrix24,Системы управления (CMS),,5 заявок
Требуется разработка дизайна интернет магазина электроинструментов,Дизайн сайтов,$1200,41 заявка
Внести изменения в шаблон лендинга,Веб-программирование,,8 заявок
"Нужно подправить чужие скрипты (добавить функции, можно готовые)",Веб-программирование,$40,16 заявок
Редактировать контент в шаблоне WordPress добавить лайтбокс,Системы управления (CMS),,9 заявок
Онлайн-консультант на сервис обмена валют,Служба поддержки,,3 заявки
Скопировать шаблон сайта [быстро],HTML-верстка,$20,15 заявок
Сделать отчет на Power BI,Базы данных,,2 заявки
"Требуется программист (PHP, MySQL, HTML, JS, верстка)",Веб-программирование,,18 заявок
,,,
Иллюстрации для ачивок в мобильном приложении,Иллюстрации и Рисунки,,9 заявок
Иконки для Андроид игры,Дизайн сайтов,,10 заявок
Надо написать скрипт для Whatsapp,Веб-программирование,,1 заявка
Анализ записей с видеокамер,Наполнение сайтов,,10 заявок
Обновить форум phpBB с 3.0.x до 3.2,Веб-программирование,,3 заявки
Преддипломная_практика_по_ювелирному_делу(080108)-СРОЧНО,"Рефераты, Курсовые и Дипломы",,1 заявка
Детский баннер для канала на Ютуб и значок канала,Баннеры,,19 заявок
Landing page,Дизайн сайтов,$40,46 заявок
Считывание данных со сторонней программы.,Прикладное ПО,$50,2 заявки
Написать статью,Копирайтинг,,3 заявки
Парсер объявлений с авито,Веб-программирование,,9 заявок
Рерайтинг по теме химчистка,Рерайтинг,,6 заявок
Мобильная версия сайта.,Системы управления (CMS),,26 заявок
Рерайтер футбол,Рерайтинг,,29 заявок
"Написать текст для ролика на youtube, посвященного женщинам",Копирайтинг,,11 заявок
Рерайтинг 40 руб/1000 симв без пробел,Рерайтинг,$5,11 заявок
Контекстная реклама + SEO продвижение посадочной страницы,Контекстная реклама,,10 заявок
Исправить отображение 300 фото продуктов (WooCommerce),Системы управления (CMS),,6 заявок
"Подбор названия для youtube, instagram, vk канала для женщин",Нейминг и Слоганы,$35,19 заявок
Требуются авторы с мед. образованием,Рерайтинг,,4 заявки
,,,
Обработка видео-ролика,"Уроки и Репетиторство, Видеомонтаж",,11 заявок
Доработка иллюстрации для сайта согласно ТЗ,Иллюстрации и Рисунки,$52,2 заявки
"Копирайтинг на женскую тематику, тему туризма и народной медицины",Копирайтинг,,37 заявок
Необходим обзор компонента или модуля для CMS Joomla,Копирайтинг,,2 заявки
Помощь с версией для слабовидящих joomla 3,Веб-программирование,,4 заявки
"Вставить видео на Bitrix сайт, есть шаблон.",Веб-программирование,,6 заявок
Парсинг каталога Автозапчастей,Веб-программирование,,19 заявок
Создание итогового плана 300 статей,Копирайтинг,,13 заявок
Разработать плагин для WP,Веб-программирование,,4 заявки
Определение растений по фотографии (для новичков),Наполнение сайтов,,8 заявок
Нужны отзывы в большом кол-ве.,Продающие тексты,,14 заявок
Вёрстка сайта на opencart,HTML-верстка,,14 заявок
Скрипт на perl,Веб-программирование,,2 заявки
"Группы ВК и Instagram, наполнение ЦА, создание входящего потока заявок",Социальные сети (SMM и SMO),,7 заявок
Сделать 1 слайд,Верстка полиграфии,$2,3 заявки
Автоматическая программа для ставок в онлайн букмекерских конторах.,Прикладное ПО,$100,2 заявки
Разово сделать рассылку по имеющейся базе адресов,Веб-программирование,,5 заявок
Доработка WP темы (шапка + страница),Системы управления (CMS),,11 заявок
Сценарий для видеоблога,Сценарии,,3 заявки
Разработка бота в Телеграмм,Веб-программирование,$500,7 заявок
,,,
Разработка тарифного калькулятора.,Веб-программирование,,13 заявок
Инфографика,Иллюстрации и Рисунки,,9 заявок
Перевести статьи,"Переводы, Наполнение сайтов",,190 заявок
Скрипт по автоматическому добавлению заведения в поле (CMS Битрикс),Веб-программирование,,3 заявки
Человек на создание лендингов и простых сайтов,Сайты «под ключ»,,11 заявок
"Доработать CRM/ERP/HRM EasyWork24 под клиента (система - ""пластилин"")",Веб-программирование,$100,8 заявок
Нужно спеть куплет с своим акциентом и местным жаргоном (бывш. СССР),Озвучивание,$2,17 заявок
Сделать концепт умного дома (точнее сеть разнотипной недвижимости),Чертежи и Схемы,$100,7 заявок
Сделать простого валютного робота для Открытие-Брокер,Веб-программирование,$50,4 заявки
"Сделать юридическую защиту, чтобы персонал не подкупали на саботаж",Юридические услуги,$15,4 заявки
3d видео ролик,Видеомонтаж,,7 заявок
Создание аппликации ( бота ) для раскрутки Инстаграм профайлов,Веб-программирование,,2 заявки
Расширение,Веб-программирование,,3 заявки
Спарсить пару сайтов. Парсинг сайтов. Парсер веба.,Веб-программирование,$50,4 заявки
Нарисовать рекламный баннер,Баннеры,,34 заявки
Оптимизация сайта по рекомендациям PageSpeed Insights (OpenCart),Веб-программирование,,25 заявок
Подбор домена для продажи услуг мини-программ,Нейминг и Слоганы,$35,13 заявок
Готовить ежедневный список значимых событий за день по криптовалютам,Рерайтинг,,2 заявки
Правка сайта Битрикс,Системы управления (CMS),,15 заявок
Разработка (продолжение разработки) сервиса на Laravel,Веб-программирование,,6 заявок
,,,
Вывод баланса биржи Binance в Google Sheet,Веб-программирование,,4 заявки
Создать сайт на вордпресе !,Сайты «под ключ»,,24 заявки
Сделать лендинг про продаже безделушки из Китая по шаблону.,Сайты «под ключ»,$20,11 заявок
"Устранить Error: Failed to instantiate component or class ""user"" - Yii",Веб-программирование,$7,2 заявки
"Переверстка, внесение небольших правок в создаваемый сервис, wordpress",HTML-верстка,,4 заявки
"Серверная часть для crm на nodejs, mongo db",Веб-программирование,,2 заявки
Разорвать шину питания линеек оперативной памяти,Машиностроение,,нет заявок
База данных MySql или MS SQL и приложение на С# для работы с этой базо,Прикладное ПО,$200,3 заявки
Инвестиционный проект,Социальные сети (SMM и SMO),,4 заявки
Список IP определенной области Украины,Веб-программирование,$5,3 заявки
Написание курсовой,Копирайтинг,$30,2 заявки
Верстка личного кабинета клиента и частичное программирование,HTML-верстка,,12 заявок
Сделать небольшой сайт на WordPress,Сайты «под ключ»,,20 заявок
Расчет конструкции с учетом упругопластической работы материала,"Рефераты, Курсовые и Дипломы",,нет заявок
Доработка сайта до полноценного портала,Сайты «под ключ»,,4 заявки
Копирайтер (немецкий язык),Копирайтинг,,1 заявка
Приложение ios,ПО для мобильных устройств,,4 заявки
Ищу гуру excel vba,Прикладное ПО,,5 заявок
Разработка back-end сайта (блог-платформа) на языке Go,Веб-программирование,,3 заявки
"Создать портал на новом движке, перенеся его с текущего",Системы управления (CMS),,8 заявок
,,,
"Создать портал на новом движке, перенеся его с текущего",Системы управления (CMS),,8 заявок
Доработать социальную сеть WoWonder,Веб-программирование,$30,3 заявки
PHP загрузка фото,Веб-программирование,,5 заявок
"VPN клиент. Андроид. Фронт, бэк.",ПО для мобильных устройств,,5 заявок
Доработки по сайту на Prestashop,Веб-программирование,,1 заявка
Требуется регер фрихостинга,Веб-программирование,$50,5 заявок
Изменение слов в песне,Аудиомонтаж,,5 заявок
Создать сайт интернет магазина на базе WP,Интернет-магазины,,20 заявок
Поставить плагин для смс уведомлений в интернет-магазине,Веб-программирование,,6 заявок
Скрипт для InnoSetup (инсталлятор),Прикладное ПО,,2 заявки
Рекламное расширение для браузеров (YouTube API) + Оплата за скачку,Веб-программирование,$347,2 заявки
Слайдер,Веб-программирование,$200,1 заявка
Исправить  шаблон,HTML-верстка,,4 заявки
Адаптация сайта под мобильные устройства,HTML-верстка,,8 заявок
Доработка сайта на Symfony3,Веб-программирование,,2 заявки
Парсер постов ВК,Веб-программирование,,3 заявки
Доработка шаблона сайта - дизайн и наполнение,"Дизайн сайтов, HTML-верстка",,12 заявок
"Написать материал про дешевые вина за $3-4, которые можно купить в РФ",Копирайтинг,$10,6 заявок
Доработать простую bootstrap верстку,HTML-верстка,$30,41 заявка
Софт для накрутки подписчиков и просмотров в телеграм,Прикладное ПО,,2 заявки
,,,
Перенос сайта на новую CMS,Системы управления (CMS),,10 заявок
Скомпилировать установочный файл под виндовс,Прикладное ПО,,2 заявки
DKP система,Веб-программирование,,2 заявки
Требуется набор подписчиков в Instagram,Социальные сети (SMM и SMO),,17 заявок
"Почистить сайт от вирусов, обновить CMS (Joomla)",Системы управления (CMS),,8 заявок
Сайт автосервиса под ключ,Сайты «под ключ»,,38 заявок
Фирменный стиль + логотип + полиграфия,Фирменный стиль,,42 заявки
Правки Opencart 2+,Веб-программирование,,4 заявки
Контент-менеджер для юридического сайта (помощник),Наполнение сайтов,,3 заявки
Верстальщик из г. Казань,HTML-верстка,,3 заявки
Требуются авторы для написания статей,Копирайтинг,,11 заявок
Тестирования мобильного приложение интернет-магазина,Тестирование ПО,,9 заявок
Сделать копию сайта + поставить эту копию на WP,Системы управления (CMS),,13 заявок
Закупить первую партию трастовых ссылокдля SEO,Поисковые системы (SEO),$150,6 заявок
Настроить Бизнесс процесс в Битрикс24,Системы управления (CMS),,1 заявка
Требуются сотрудники в Web студию,Веб-программирование,,7 заявок
Дипломная работа по юридической специальности,"Рефераты, Курсовые и Дипломы",$80,5 заявок
Дипломная работа по юридической специальности,"Рефераты, Курсовые и Дипломы",,2 заявки
Раскрутить instagram реальными подписчиками,Социальные сети (SMM и SMO),,8 заявок
Нарисовать макет для одностраничного лендинга,Дизайн сайтов,,15 заявок
,,,
Рерайт новостей на форум,Рерайтинг,,5 заявок
Ищем PHP-программиста + Yii2 для (deadline) проектов,Веб-программирование,,4 заявки
Такси,ПО для мобильных устройств,,6 заявок
Перевод документа на английский язык,Переводы,,28 заявок
Ответить на 1000 тикетов в чате,Служба поддержки,$250,6 заявок
Дизайн магазина одежды,Интерьеры и Экстерьеры,,12 заявок
Рерайт статей на женскую тему,Копирайтинг,,59 заявок
Отрисовка картинок  векторе (579 шт),Иллюстрации и Рисунки,,11 заявок
Фотошоп. Работа с текстом.,Обработка фотографий,,22 заявки
Создание анимации + продвижение-монетизация в соцсетях,Иконки и Пиксель-арт,,3 заявки
Нужно перевезти страницу сайта,Переводы,,11 заявок
Создать похожую работу,Дизайн сайтов,,32 заявки
Доработки по вордпрессу,Веб-программирование,,6 заявок
Написать функцию декодирования PrivateKey в Address,Веб-программирование,,3 заявки
Обзоры букмекерских контор и статьи на тему спортивных ставок,Копирайтинг,,5 заявок
Исправление ошибок валидности HTML и CSS на сайте,Веб-программирование,,3 заявки
Разработка курса «Маркетинговые коммуникации» для платформы Udemy,Презентации,,нет заявок
Написать тз для разработки нового сайта,Наполнение сайтов,,3 заявки
Продвижение канала в Телеграм,Социальные сети (SMM и SMO),,3 заявки
Сбор статистики по каналам в Телеграм,Социальные сети (SMM и SMO),,4 заявки
,,,
Разработать дизайн сайта,Дизайн сайтов,,41 заявка
Переделать почти готовый сайт на Джумле с шаблона на К2,Системы управления (CMS),,5 заявок
Сделать интеграцию opencart 2.3 с AmoCRM,Встраиваемые системы,,2 заявки
Поиск мусора в индексе и битых ссылок,Поисковые системы (SEO),,7 заявок
Спасрсить базу банковских отделений,Веб-программирование,,14 заявок
Интернет магазин по запчастям на Корейским экскаваторам,Сайты «под ключ»,,23 заявки
Разработка бренд букинга  для магазина разливного пива,Фирменный стиль,,25 заявок
Продвижение 2-х существующих групп в VK,Социальные сети (SMM и SMO),,7 заявок
Холодный прозвон без базы (digital услуги),Служба поддержки,,5 заявок
Автомобильный форум по корейским грузовикам,Сайты «под ключ»,,8 заявок
Англ.яз. Рутинная проверка 3000 магазинов на наличие Affiliate Program,Наполнение сайтов,$150,12 заявок
Написать отзывы об интернет-магазинах,Копирайтинг,,26 заявок
Веселый боулинг,Разработка игр,,2 заявки
Верстка сайта,HTML-верстка,,9 заявок
Разработка backend и frontend,Системы управления (CMS),$53,10 заявок
Java spring HelloWorld + консультация,Веб-программирование,$25,1 заявка
"Срочно нужен копирайтер,написание пригласительного письма",Копирайтинг,,10 заявок
Излечить сайт на modx evolution от вирусов.,Системы управления (CMS),,5 заявок
Пачка новостных статей об автомобильных новинках 2017-2018 года,Рерайтинг,$45,6 заявок
Создания групп в вк,Редактирование и Корректура,$50,18 заявок
,,,
Разработка веб-приложения на php,Веб-программирование,,13 заявок
100+ статей на тему Образование: услуги репетиторов,Копирайтинг,$150,10 заявок
Настроить рассылку лидов в Битрикс24,Системы управления (CMS),,1 заявка
Доработка сайта,Веб-программирование,,9 заявок
Нужен программист по битрикс,Веб-программирование,,6 заявок
Тестер программного обеспечения,Тестирование ПО,$10,14 заявок
Исправить в скрипте две сортировки,Веб-программирование,$15,2 заявки
Герои для мультфильма,Иллюстрации и Рисунки,$200,12 заявок
Создание фонов (задних планов) для Мультфильма,Иллюстрации и Рисунки,$50,5 заявок
Необходимо спарсить данные аптек по городам России,"Наполнение сайтов, Веб-программирование",,4 заявки
Разработать бота в телеграмм для бизнеса,Веб-программирование,,9 заявок
Передача метки с сайта по указанному url в трекер - систему аналитики,Веб-программирование,,1 заявка
Написать текст ENG обучающая тематика,Переводы,,9 заявок
Проект на WordPress,Веб-программирование,,18 заявок
Плагин для вордпресс,Веб-программирование,,6 заявок
Переделать сайт на WordPress,Веб-программирование,$250,11 заявок
Участвовать в создании нового EasyWork24 2.0 (браузерная HRM-система),Веб-программирование,$14500,15 заявок
Написать ТЗ под свою валюту (не крипто),Веб-программирование,$50,3 заявки
Собрать сайт на CMF MODX,Веб-программирование,$200,13 заявок
Нарисовать лого,Логотипы и Знаки,,26 заявок
,,,
Нарисовать лого,Логотипы и Знаки,,26 заявок
Расчет воздухо-воздушного теплообменника систем кондиционирования,"Рефераты, Курсовые и Дипломы",,1 заявка
Java-plugin для QSYSTEM (Электронная очередь),Прикладное ПО,,1 заявка
Нужно обработать несколько фотографий,Обработка фотографий,,40 заявок
Логотип для программы,Логотипы и Знаки,$200,26 заявок
Нужна программа: Автоматизированное рабочее место врача,Прикладное ПО,,9 заявок
"KML - исправить ошибку синтакс.анализа (обычный,создан в Google Earth)",Тестирование ПО,,4 заявки
Поиск яндекса HTML код,HTML-верстка,$5,4 заявки
Перевод 10 статей (с перспективой) с русского на другие языки,Переводы,,34 заявки
Перевод 43 статей с русского на другие языки (в описании),Переводы,,20 заявок
Помочь разобраться с SEO на игровом портале,Поисковые системы (SEO),,11 заявок
Специалист JavaScript и Google Tag Manager,Веб-программирование,,1 заявка
Написать тексты в 16 категория интернет-магазина,Копирайтинг,$8,7 заявок
Программа удаленного доступа,Прикладное ПО,,4 заявки
Интерактивные-мультимедийные приложение для дошкольников,Презентации,,1 заявка
Работа с imacros (тот что в разширениях гугла и мозилы),Веб-программирование,,3 заявки
Доработать сайт по добавлению функционала,Веб-программирование,,2 заявки
Организация работы с Яндекс маркетом,Наполнение сайтов,,нет заявок
РеДизайн модуля для бронирования автопаркинга + верстка,"HTML-верстка, Дизайн сайтов",,11 заявок
Озвучка текста,Озвучивание,$1,14 заявок
,,,
СЕО продвижение 2 сайтов,Поисковые системы (SEO),,15 заявок
Нужна настройка РСЯ + адсенс на сайте,Веб-программирование,,1 заявка
Android app (React) с использованием Google Vision и Google Translate,ПО для мобильных устройств,,5 заявок
Администратор сайтов + IT-поддержка,Системное администрирование,,7 заявок
Создание Логотипа/Аватара + Шапка YouTube,Иллюстрации и Рисунки,,12 заявок
"Волжский, оператор видео + монтаж",Видеомонтаж,,2 заявки
Prestashop. Построить модуль управления заказами,Веб-программирование,,3 заявки
Сделать инструкцию для пользователей сайта.,Сценарии,,2 заявки
Подключить amocrm к сайту,Веб-программирование,,6 заявок
Портирование базы данных с MS SQL Server2016 на последнюю версию mySQL,Системное администрирование,,5 заявок
Сформировать торговый отчет (в xls) из списка сделок (в csv),Системное программирование,,8 заявок
Парсер картинок с Google и Яндекс,Веб-программирование,,10 заявок
Разработка сайта компании на Битриксе,Системы управления (CMS),,14 заявок
Программа по автоматической регистрации пользователей,Прикладное ПО,,7 заявок
Парсер ЛитРес в виде плагина к WordPress,Веб-программирование,,8 заявок
Онлайн крипто банк :),Веб-программирование,,6 заявок
Проверить чертеж на наличие ошибок,Чертежи и Схемы,,9 заявок
Поправить сайт на битриксе,HTML-верстка,,7 заявок
Оформление заказа. Два метода доставки OpenCart 2 одновременно,Веб-программирование,,2 заявки
Оставить публичный отзыв о компании на Google (Ижевск),Копирайтинг,,1 заявка
,,,
Верстка LP,HTML-верстка,$43,40 заявок
OpenCart интернет магазин парсер прайсов,Веб-программирование,,7 заявок
Инструкция по настройке Centos 7 как шлюз,Системное администрирование,,6 заявок
Доработка магазина на опенкарт,Веб-программирование,$20,1 заявка
Требуется ANDROID программист для создания приложения,ПО для мобильных устройств,$600,6 заявок
"Дизайнер для доработки скетч макета, сейчас",Дизайн сайтов,$25,3 заявки
Нужно нарисовать логотип для медицинской фирмы,Логотипы и Знаки,$15,34 заявки
"Довести до ума, страницу на викс.",Дизайн сайтов,$4,5 заявок
Онлайн-БД для внесения и поиска статической информации,Базы данных,,4 заявки
Шаблон для партнерки mylove.ru,HTML-верстка,,2 заявки
Шаблон для партнерки mylove.ru,HTML-верстка,,2 заявки
Обновить вордпресс + несколько правок,Системы управления (CMS),,16 заявок
Запись в базу данных,"Веб-программирование, Базы данных",$10,9 заявок
Срочно Верстальщик,HTML-верстка,,3 заявки
PHP регулярка,Веб-программирование,$3,4 заявки
Написать 1 описание (Мото) Ботинки Acerbis X-Move MX White,Рерайтинг,,2 заявки
Поставить сайт на CMS,Веб-программирование,,10 заявок
PHP найти в html все списки любого уровня вложнности,Веб-программирование,,2 заявки
PHP регулярка,Веб-программирование,,3 заявки
Написать статью,Копирайтинг,$15,10 заявок
,,,
Написать статью,Копирайтинг,$15,10 заявок
Нужен программист для сборки сайта и бота,Веб-программирование,$100,12 заявок
Настройка парсинга валют на WordPress,Веб-программирование,,3 заявки
Написать парсер и доработать существующий,Веб-программирование,,13 заявок
Перенос простого сайта на Wordpress,Системы управления (CMS),$50,12 заявок
Нужен разработчик nodejs/python,Веб-программирование,,4 заявки
Адаптивная верстка 1 страницы и натяжка на ModX,"HTML-верстка, Системы управления (CMS)",,18 заявок
Разработка интернет-магазина,Сайты «под ключ»,$2500,72 заявки
Доработать шаблонное решение на Битриксе.,Системы управления (CMS),,5 заявок
Продающий лендинг,Веб-программирование,,8 заявок
Пофиксить верстку Хтмл цсс вордпресс (срочно),HTML-верстка,$50,14 заявок
Сайт на yii2 верстка редизайна,Веб-программирование,,10 заявок
Разработать сайт для внутреннего контроля бизнес процессов,Сайты «под ключ»,,12 заявок
Плагин для WordPress,Веб-программирование,,4 заявки
"Лендинговая страница ""Услуги"" на CMS Битрикс",HTML-верстка,,8 заявок
Создание рекламных баннеров соц.сетей VK\facebok\instagram(5баннеров),Баннеры,$25,21 заявка
Разработка контент-плана ютуб канала,Сценарии,,5 заявок
Требуется профессионал в сфере Amazone AWS или аналоги,Системное администрирование,$300,3 заявки
Наладить вывод рейтинга для элементов,Веб-программирование,,9 заявок
На сайт вставить виджет с бронью авиа/жд (рус и китайский языки),HTML-верстка,,4 заявки
,,,
"После нажатия ""отписаться от рассылки"" - указать причину отписки",Веб-программирование,,5 заявок
Починить ispmanager,Системное администрирование,,8 заявок
Технический перевод с немецкого,Переводы,,13 заявок
Исправить проблемы сайта,Веб-программирование,,15 заявок
5 seo-статей с интересным содержанием,Продающие тексты,,29 заявок
Статьи,Копирайтинг,,22 заявки
Обзорные статьи для сайтов,Копирайтинг,,23 заявки
Оформление типовой страницы (в основном расположение текста),Дизайн сайтов,,16 заявок
"Увести текст из возможного разряда ""клевета"" в оценочные суждения",Рерайтинг,$3,3 заявки
"Landing, дизайн открыток.",Сайты «под ключ»,,8 заявок
Создать красивый прайс лист,Дизайн продукции,,34 заявки
"Распарсить несколько сайтов, с выводом в гугл таблицы",Веб-программирование,,6 заявок
Дизайн сайта,Дизайн сайтов,,20 заявок
Нужен документ 1c с формой для работы на планшете,1С-программирование,,4 заявки
Дизайн/верстка фотокниги (альбом),Верстка полиграфии,,12 заявок
Разработка дизайна сайта производственной компании,Дизайн сайтов,,6 заявок
Сайт PSD - WP,Сайты «под ключ»,$265,21 заявка
Интернет магазина на WordPress,Интернет-магазины,,10 заявок
Скрипт под Poloniex,Веб-программирование,,2 заявки
Верстка Prestashop,HTML-верстка,,13 заявок
,,,
Обложка и автарка для facebook страницы.,Иллюстрации и Рисунки,,22 заявки
Phantom JS,Веб-программирование,$4,3 заявки
Нужно доделать сайт на опнкарте,Дизайн сайтов,,7 заявок
Доработка сайта на joomla,Веб-программирование,,нет заявок
Доработки интернет-магазина,Интернет-магазины,,10 заявок
Объединить под одним доменом несколько порталов на Joomla,Веб-программирование,,2 заявки
Перевод с русского на немецкий,Переводы,,16 заявок
Оптимизация и поддержка рекламного аккаунта Adwords,Контекстная реклама,$79,16 заявок
Комментирование других блогов за оплату,Поисковые системы (SEO),,11 заявок
Правка на сайте Open Cart 2.1.0.1,Интернет-магазины,,3 заявки
Разработка бек-офиса и мобильное приложение по продаж б/у товаров,ПО для мобильных устройств,,8 заявок
Создание обменника,Встраиваемые системы,,3 заявки
"Расчет стоимости онлайн php, js",Веб-программирование,$20,12 заявок
Заточить готовую статью под поиск,Поисковые системы (SEO),,3 заявки
БИНАРНОЕ УПОРЯДОЧЕННОЕ ДЕРЕВО - C++,Прикладное ПО,$2,3 заявки
Требуется аниматор для детского мульт проекта!,Анимация,,10 заявок
Необходим плагин для WP,Веб-программирование,,2 заявки
Нужно озвучить видео длинной 2 минуты 40 секунд на английском языке,Озвучивание,,11 заявок
Создать веб-сайт интернет-радиостанцию,Сайты «под ключ»,,6 заявок
Создать модуль DLE,Веб-программирование,,1 заявка
,,,
Создать модуль DLE,Веб-программирование,,1 заявка
Дизайн инвестиционного проекта,Дизайн сайтов,,22 заявки
Лендинг,Веб-программирование,,7 заявок
Верстка модуля выбора шин и дисков PrestaShop,Веб-программирование,,1 заявка
"Создание веб страницы, чуть-чуть вёрстки, работа связана с API - сегод",Веб-программирование,$67,11 заявок
Требуется frontend на проект,Веб-программирование,,3 заявки
Обновить дизайн сайта + внести дополнительный функционал,"Интернет-магазины, Веб-программирование",$300,12 заявок
Описание для сайта,Копирайтинг,,5 заявок
Плагин для WP,"Веб-программирование, HTML-верстка",,6 заявок
Скрипт доски объявления,Веб-программирование,,6 заявок
Написание контента на тему спортивного питания,Продающие тексты,$100,20 заявок
Привязать сайт к TecDoc,Веб-программирование,,3 заявки
Рерайт статьи,Рерайтинг,,3 заявки
Программа по информатике (1 курс),"Рефераты, Курсовые и Дипломы",$18,2 заявки
Нужна консультация по настройке Google Analytics в Google TagManager,Поисковые системы (SEO),,3 заявки
Разработка плагина/хука для Woocommerce,Системы управления (CMS),,4 заявки
Итернет магазин ARMEYKA  под ключ,Сайты «под ключ»,,15 заявок
Придумать название инвестиционному фонду,Нейминг и Слоганы,$10,22 заявки
Ошибка в работе сайта,Веб-программирование,,8 заявок
Настройка рекламной кампании.,Контекстная реклама,,19 заявок
,,,
Проект по интернет-магазину,Веб-программирование,,19 заявок
Воскрешение сайта,Веб-программирование,,13 заявок
"Drupal 8, бэкенд задачи",Системы управления (CMS),,2 заявки
Подбор сайтов для размещения визитки стоматологического центра.,Поисковые системы (SEO),,12 заявок
Разработать чертежи/развертки 2к квартиры (концепция дизайна есть),Интерьеры и Экстерьеры,,17 заявок
Разработка игры на Android и IOS,ПО для мобильных устройств,,8 заявок
Ведение проекта в фейсбуке на 30 дней,Социальные сети (SMM и SMO),,2 заявки
Почтовая поддержка доменного имени,Системное администрирование,$20,9 заявок
Доработка товарной карточки на Webasyst SS 7.0,Интернет-магазины,,2 заявки
Убрать надписи на картинке и добавить другие,Обработка фотографий,,57 заявок
Почистить сайт от вредоносного кода - Wordpress/Themeforest,Системы управления (CMS),,8 заявок
Качественный шаблон WP,Дизайн сайтов,,7 заявок
Доработать проект на Yii 2 Framework,Веб-программирование,,9 заявок
